epoch,train_loss,val_loss,learning_rate
1,0.10391541771017589,0.048165883496403696,0.001
2,0.046186576573512494,0.03932534009218216,0.0009993070929904524
3,0.038046874201450594,0.03460567258298397,0.0009986146661010288
4,0.03556851584177751,0.033423542976379395,0.0009979227189990504
5,0.034169781857576124,0.032684239000082015,0.0009972312513520693
6,0.033243959148724876,0.032137187756598,0.0009965402628278675
7,0.03276766072481106,0.03206395991146564,0.0009958497530944577
8,0.03250067256008967,0.031741696409881115,0.0009951597218200825
9,0.03233181775953525,0.03154802024364471,0.000994470168673214
10,0.03216008187677616,0.031534239277243616,0.0009937810933225543
11,0.03203642511597046,0.03138348404318094,0.0009930924954370355
12,0.03195193037390709,0.031325981765985486,0.000992404374685818
13,0.03185736779601146,0.031243729591369628,0.0009917167307382927
14,0.031787985553726174,0.03137093763798475,0.0009910295632640787
15,0.03173487523618417,0.03119474947452545,0.0009903428719330242
16,0.03180827042804314,0.031205655820667744,0.0009896566564152065
17,0.031627596236574344,0.0311026182025671,0.000988970916380931
18,0.031585440039634705,0.031082009337842463,0.000988285651500732
19,0.03153876625956633,0.031109810806810856,0.000987600861445372
20,0.03148906711393442,0.030980060063302516,0.0009869165458858413
21,0.03149487465046919,0.03098990544676781,0.0009862327044933587
22,0.03147749005792997,0.030964546650648118,0.0009855493369393703
23,0.031460098731212124,0.030946804955601693,0.0009848664428955501
24,0.03139779387185207,0.03093481119722128,0.0009841840220337996
25,0.03134829039948109,0.03095213174819946,0.0009835020740262478
26,0.03131962983080974,0.030916202813386917,0.0009828205985452506
27,0.03134157508611679,0.030919981189072132,0.000982139595263391
28,0.03131354518998892,0.030878468230366708,0.0009814590638534788
29,0.03127894755930473,0.030887473933398725,0.0009807790039885508
30,0.031262361468412936,0.030903055146336556,0.0009800994153418702
31,0.03126636534356154,0.030850526131689548,0.0009794202975869264
32,0.03128155258794626,0.030877007357776164,0.0009787416503974353
33,0.03127126424358441,0.03087421730160713,0.0009780634734473388
34,0.03115191878989721,0.030882097966969013,0.0009773857664108047
35,0.031161907009589367,0.030872159451246262,0.0009767085289622266
36,0.031100001233892564,0.030815067887306213,0.0009760317607762238
37,0.031076886476232454,0.030921260267496108,0.000975355461527641
38,0.03106067969630926,0.030783628672361375,0.0009746796308915481
39,0.03105651787840403,0.030971780978143217,0.0009740042685432402
40,0.031219005823517457,0.03087652809917927,0.0009733293741582374
41,0.031091542007067263,0.030798593908548354,0.0009726549474122847
42,0.031002620378365882,0.030798959732055663,0.0009719809879813517
43,0.030967669561505318,0.030746127106249334,0.0009713074955416325
44,0.030943084890261676,0.030743481405079365,0.0009706344697695457
45,0.030894619150039476,0.030729213915765285,0.0009699619103417339
46,0.030882023227138396,0.030723184160888196,0.0009692898169350641
47,0.030931829880827513,0.03075519558042288,0.0009686181892266267
48,0.030889947540484942,0.03071585055440664,0.0009679470268937364
49,0.030841396452906806,0.030701470002532004,0.0009672763296139311
50,0.03083530159141773,0.030772633291780947,0.0009666060970649722
